VideoID,Username,Comment,Timestamp,Date,Clean_Comment
_5AKKX1MYR8,@FridepMaestro,Enak banget versi Ariel,2025-05-26T17:35:05Z,2025-05-26T17:35:05Z,enak banget versi ariel
_5AKKX1MYR8,@budanchofallschrimeeng9932,Moal gagal wa...,2025-05-26T11:28:14Z,2025-05-26T11:28:14Z,moal gagal wa
_5AKKX1MYR8,@jajangnurachman8001,Lagu adera?,2025-05-26T10:05:10Z,2025-05-26T10:05:10Z,lagu adera
_5AKKX1MYR8,@maestro4691,Enak banget versi ariel,2025-05-25T18:32:38Z,2025-05-25T18:32:38Z,enak banget versi ariel
_5AKKX1MYR8,@iwanirham7830,Keren❤,2025-05-25T16:05:22Z,2025-05-25T16:05:22Z,keren
_5AKKX1MYR8,@RayanHadi-j9l,Bagus sekali,2025-05-25T14:03:37Z,2025-05-25T14:03:37Z,bagus sekali
_5AKKX1MYR8,@Neptuneboyy,1:05 tarikan khas ariel bangett,2025-05-25T08:22:13Z,2025-05-25T08:22:13Z,105 tarikan khas ariel bangett
_5AKKX1MYR8,@thomasr515,Boril yg nyanyi tiba tiba merinding,2025-05-25T06:00:59Z,2025-05-25T06:00:59Z,boril yg nyanyi tiba tiba merinding
_5AKKX1MYR8,@erpansopian1437,ditunggu versi babang tamvan,2025-05-24T18:56:42Z,2025-05-24T18:56:42Z,ditunggu versi babang tamvan
_5AKKX1MYR8,@HaristAlmuhasibi08,Indah bersama dewa Dewi,2025-05-24T13:32:32Z,2025-05-24T13:32:32Z,indah bersama dewa dewi
_5AKKX1MYR8,@rennysetiawan1749,Enak lagunya 🤔🤔🥹🥹🥹🥹🥹🥹🥹🤗,2025-05-24T13:15:55Z,2025-05-24T13:15:55Z,enak lagunya
_5AKKX1MYR8,@BlessingFishJogja,suaranya bikin tenang,2025-05-24T09:06:57Z,2025-05-24T09:06:57Z,suaranya bikin tenang
_5AKKX1MYR8,@haekalhamzar1862,Gak ada di spotyfy,2025-05-24T08:13:31Z,2025-05-24T08:13:31Z,gak ada di spotyfy
_5AKKX1MYR8,@JihanNurulFatihah-b7x,Sedih banget lagunya,2025-05-24T07:37:00Z,2025-05-24T07:37:00Z,sedih banget lagunya
_5AKKX1MYR8,@AdzkiaKinan-n1n,Uu😮😮😮😮🎉🎉🎉,2025-05-24T05:37:46Z,2025-05-24T05:37:46Z,uu
_5AKKX1MYR8,@AdzkiaKinan-n1n,😂,2025-05-24T05:38:07Z,2025-05-24T05:38:07Z,
_5AKKX1MYR8,@sanjaik.166,Nangis dengernya,2025-05-24T04:36:38Z,2025-05-24T04:36:38Z,nangis dengernya
_5AKKX1MYR8,@mirayanti9617,EgA😎😎,2025-05-24T04:31:42Z,2025-05-24T04:31:42Z,ega
_5AKKX1MYR8,@neoinsight93,🎉,2025-05-23T15:00:31Z,2025-05-23T15:00:31Z,
_5AKKX1MYR8,@hadiwaluyohasibuan,Suwun...🎉🎉🎉🎉,2025-05-23T11:43:23Z,2025-05-23T11:43:23Z,suwun
_5AKKX1MYR8,@fauziwaringin7776,"Menceritakan tentang sebuah orang tua kepada anaknya, ""tentang kerasnya hidup"". Trimakasih",2025-05-22T19:55:01Z,2025-05-22T19:55:01Z,menceritakan tentang sebuah orang tua kepada anaknya tentang kerasnya hidup trimakasih
_5AKKX1MYR8,@Lanang-r6w,"[Notify]
""Ku Akan Kembali""

@NotifyBandChannel

https://youtu.be/j9aGF1Oe4IQ?si=oM3gxSxhKG2j7hwp

#NotifyBand #KuAkanKembali",2025-05-23T08:54:20Z,2025-05-23T08:54:20Z,notify ku akan kembali notifybandchannel notifyband kuakankembali
_5AKKX1MYR8,@14subh4n,Suara ariel luar biasa khas,2025-05-22T14:20:34Z,2025-05-22T14:20:34Z,suara ariel luar biasa khas
_5AKKX1MYR8,@danheseugenepratama5656,Need this in spotify,2025-05-22T13:01:15Z,2025-05-22T13:01:15Z,need this in spotify
_5AKKX1MYR8,@DanDim-uh5ne,Gk ada di spotify,2025-05-22T08:38:52Z,2025-05-22T08:38:52Z,gk ada di spotify
